Ano,Regiao,NrObitosInfantis
2016,Nordeste,6.406354515050167
2016,Norte,10.612472160356347
2016,Sudeste,6.128273980815347
2017,Nordeste,6.398550724637682
2017,Norte,10.734966592427616
2017,Sudeste,6.670200239808153
2018,Nordeste,6.29654403567447
2018,Norte,10.89086859688196
2018,Sudeste,6.588024580335732
2019,Nordeste,6.1438127090301
2019,Norte,10.538975501113585
2019,Sudeste,6.54902757793765
2020,Nordeste,5.564659977703456
2020,Norte,9.752783964365257
2020,Sudeste,5.735314748201438
2021,Nordeste,5.59866220735786
2021,Norte,10.329621380846325
2021,Sudeste,5.7688369304556355
